Id,Nome,PL_p,PL_c,SL_p,SL_c,MT_p,MT_c,BI_p,BI_c,QM_p,QM_c,FC_p,FC_c,CH_p,CH_c,RE_p,RE_c,QD_p,QD_c,PMC
605,ENGENHARIA MECATRÔNICA - DIURNO/NOTURNO JOINVILLE,2,3,1,"0,5",3,2,1,0,1,0,2,2,1,0,"1,5",3,1,"0,5",147
606,ENGENHARIA NAVAL - DIURNO/NOTURNO JOINVILLE,2,3,1,"0,5",3,2,1,0,1,0,2,2,1,0,"1,5",3,1,"0,5",147
216,ENGENHARIA QUÍMICA - DIURNO FLORIANÓPOLIS,2,3,1,"0,5",3,2,1,0,1,0,2,2,1,0,"1,5",3,1,"0,5",147
211,ENGENHARIA SANITÁRIA E AMBIENTAL - DIURNO FLORIANÓPOLIS,2,3,1,"0,5",3,2,1,0,1,0,2,2,1,0,"1,5",3,1,"0,5",147
755,ENGENHARIA TÊXTIL - DIURNO BLUMENAU,2,3,1,"0,5",3,2,1,0,1,0,2,2,1,0,"1,5",3,1,"0,5",147
102,FARMÁCIA - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
329,FILOSOFIA - BEL/LIC - NOTURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
328,FILOSOFIA - BEL/LIC - VESPERTINO/NOTURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
2,FÍSICA - BEL - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
225,FÍSICA - LIC - NOTURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
654,FISIOTERAPIA - DIURNO ARARANGUÁ,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
109,FONOAUDIOLOGIA - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
331,GEOGRAFIA - BEL/LIC - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
332,GEOGRAFIA - BEL/LIC - NOTURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
336,GEOLOGIA - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
326,HISTÓRIA - BEL/LIC - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
327,HISTÓRIA - BEL/LIC - NOTURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
415,JORNALISMO - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
421,LETRAS - ALEMÃO - BEL/LIC - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
423,LETRAS - ESPANHOL - BEL/LIC - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
424,LETRAS - FRANCÊS - BEL/LIC - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
425,LETRAS - INGLÊS - BEL/LIC - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
427,LETRAS - ITALIANO - BEL/LIC - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
441,LETRAS - LIBRAS - BEL - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
440,LETRAS - LIBRAS - LIC - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
428,LETRAS - PORTUGUÊS - BEL/LIC - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
426,LETRAS - PORTUGUÊS - BEL/LIC - NOTURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
756,MATEMÁTICA - LIC - DIURNO BLUMENAU,2,3,1,"0,5",2,*,1,*,1,**,2,**,1,2,"1,5",3,1,"0,5",137
751,MATEMÁTICA - LIC - NOTURNO BLUMENAU,2,3,1,"0,5",2,*,1,*,1,**,2,**,1,2,"1,5",3,1,"0,5",137
223,MATEMÁTICA - LIC - DIURNO FLORIANÓPOLIS,2,3,1,"0,5",2,2,1,0,1,0,1,0,1,0,"1,5",3,1,"0,5",127
222,MATEMÁTICA - BEL - DIURNO FLORIANÓPOLIS,2,3,1,"0,5",2,2,1,0,1,0,1,0,1,0,"1,5",3,1,"0,5",127
103,MEDICINA - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
552,MEDICINA VETERINÁRIA - DIURNO CURITIBANOS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
230,METEOROLOGIA - DIURNO FLORIANÓPOLIS,2,3,1,"0,5",2,*,1,*,1,**,2,**,1,2,"1,5",3,1,"0,5",137
338,MUSEOLOGIA - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
9,NUTRIÇÃO - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
333,OCEANOGRAFIA - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
104,ODONTOLOGIA - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
308,PEDAGOGIA - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
319,PSICOLOGIA - BEL/LIC - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
3,QUÍMICA - BEL/BEL EM QUÍMICA TECNOLÓGICA - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
752,QUÍMICA - LIC - NOTURNO BLUMENAU,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
205,QUÍMICA - LIC - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
340,RELAÇÕES INTERNACIONAIS - DIURNO FLORIANÓPOLIS,"1,5",3,"1,5","0,5",1,*,1,*,1,**,1,**,1,2,2,3,1,"0,5",120
429,SECRETARIADO EXECUTIVO - NOTURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
309,SERVIÇO SOCIAL - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
339,SERVIÇO SOCIAL - NOTURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
238,SISTEMAS DE INFORMAÇÃO - NOTURNO FLORIANÓPOLIS,2,3,1,"0,5",3,2,1,0,1,0,2,2,1,0,"1,5",3,1,"0,5",147
652,TECNOLOGIAS DA INFORMAÇÃO E COMUNICAÇÃO -NOTURNO ARARANGUÁ,2,3,1,"0,5",3,2,1,0,1,0,2,2,1,0,"1,5",3,1,"0,5",147
502,ZOOTECNIA - DIURNO FLORIANÓPOLIS,1,3,1,"0,5",1,*,1,*,1,**,1,**,1,2,"1,5",3,1,"0,5",105
